red,blue,score 
"['[U:1:1052789333]', '[U:1:919085644]', '[U:1:1086921574]', '[U:1:110923884]', '[U:1:98534751]', '[U:1:393852362]']","['[U:1:317981219]', '[U:1:1278657853]', '[U:1:275885026]', '[U:1:1241493147]', '[U:1:1087295217]', '[U:1:1114199112]', '[U:1:990182760]']","[1, 5]"
"['[U:1:88623529]', '[U:1:95372503]', '[U:1:168737276]', '[U:1:1007792924]', '[U:1:260352292]', '[U:1:130301058]']","['[U:1:402718118]', '[U:1:121079858]', '[U:1:96015935]', '[U:1:409701962]', '[U:1:154627863]', '[U:1:1120606091]']","[0, 3]"
"['[U:1:317981219]', '[U:1:1201269414]', '[U:1:1191242857]', '[U:1:112926778]', '[U:1:1109505026]', '[U:1:1120606091]']","['[U:1:171938429]', '[U:1:1007792924]', '[U:1:919085644]', '[U:1:1278657853]', '[U:1:229064914]', '[U:1:1081196330]']","[1, 4]"
"['[U:1:1025829705]', '[U:1:198377443]', '[U:1:1109505026]', '[U:1:1191242857]', '[U:1:229064914]', '[U:1:1081196330]']","['[U:1:1278657853]', '[U:1:188596904]', '[U:1:1007792924]', '[U:1:1120606091]', '[U:1:428241817]', '[U:1:489591700]']","[4, 3]"
"['[U:1:155227384]', '[U:1:317981219]', '[U:1:438002921]', '[U:1:188596904]', '[U:1:1109505026]', '[U:1:167374185]']","['[U:1:1191242857]', '[U:1:904306638]', '[U:1:116428232]', '[U:1:409701962]', '[U:1:217627615]', '[U:1:1114199112]']","[0, 5]"
"['[U:1:155227384]', '[U:1:128635382]', '[U:1:105013257]', '[U:1:1050919710]', '[U:1:904306638]', '[U:1:116428232]']","['[U:1:317981219]', '[U:1:1201269414]', '[U:1:494260720]', '[U:1:188596904]', '[U:1:80969486]', '[U:1:1258031600]']","[3, 0]"
"['[U:1:102346090]', '[U:1:409701962]', '[U:1:1268599460]', '[U:1:164800184]', '[U:1:1280960540]', '[U:1:1007792924]']","['[U:1:1191242857]', '[U:1:1114199112]', '[U:1:238849269]', '[U:1:978148563]', '[U:1:249346279]', '[U:1:861750819]', '[U:1:188596904]']","[0, 5]"
"['[U:1:317981219]', '[U:1:79240754]', '[U:1:1278657853]', '[U:1:184444257]', '[U:1:1280960540]', '[U:1:489591700]']","['[U:1:125098066]', '[U:1:314449381]', '[U:1:409701962]', '[U:1:1050919710]', '[U:1:978148563]', '[U:1:919085644]']","[3, 2]"
"['[U:1:1229126044]', '[U:1:79240754]', '[U:1:1069849161]', '[U:1:167314150]', '[U:1:183962091]', '[U:1:409701962]']","['[U:1:125098066]', '[U:1:368644786]', '[U:1:1191242857]', '[U:1:155841239]', '[U:1:84980776]', '[U:1:52815207]']","[2, 5]"
"['[U:1:1280960540]', '[U:1:233139493]', '[U:1:188567767]', '[U:1:409701962]', '[U:1:1241493147]', '[U:1:919085644]']","['[U:1:877907271]', '[U:1:337877566]', '[U:1:198377443]', '[U:1:978148563]', '[U:1:1278657853]', '[U:1:1323640]']","[3, 1]"
"['[U:1:870676685]', '[U:1:908952969]', '[U:1:123709328]', '[U:1:238849269]', '[U:1:185493316]', '[U:1:156276611]']","['[U:1:209647313]', '[U:1:317981219]', '[U:1:275885026]', '[U:1:1102552676]', '[U:1:73086130]', '[U:1:315920596]']","[2, 2]"
"['[U:1:133515365]', '[U:1:348298348]', '[U:1:317981219]', '[U:1:494260720]', '[U:1:489591700]', '[U:1:919085644]']","['[U:1:1268599460]', '[U:1:1050919710]', '[U:1:275885026]', '[U:1:260352292]', '[U:1:198377443]', '[U:1:491032753]']","[0, 5]"
"['[U:1:348298348]', '[U:1:317981219]', '[U:1:494260720]', '[U:1:489591700]', '[U:1:1007792924]', '[U:1:1278657853]']","['[U:1:1268599460]', '[U:1:188567767]', '[U:1:275885026]', '[U:1:260352292]', '[U:1:919085644]', '[U:1:130147207]']","[2, 2]"
"['[U:1:485271219]', '[U:1:404440631]', '[U:1:155227384]', '[U:1:428241817]', '[U:1:438002921]', '[U:1:1114199112]']","['[U:1:1050919710]', '[U:1:1323640]', '[U:1:156276611]', '[U:1:1109505026]', '[U:1:491032753]', '[U:1:314449381]']","[0, 5]"
"['[U:1:485271219]', '[U:1:404440631]', '[U:1:1323640]', '[U:1:182383884]', '[U:1:120220395]', '[U:1:314449381]', '[U:1:156276611]']","['[U:1:1050919710]', '[U:1:155227384]', '[U:1:1109505026]', '[U:1:1114199112]', '[U:1:312640561]', '[U:1:121079858]']","[3, 2]"
"['[U:1:1050919710]', '[U:1:404440631]', '[U:1:1068421224]', '[U:1:157537683]', '[U:1:1007792924]', '[U:1:317981219]']","['[U:1:485271219]', '[U:1:155227384]', '[U:1:182383884]', '[U:1:120220395]', '[U:1:1114199112]', '[U:1:312640561]']","[2, 2]"
"['[U:1:485271219]', '[U:1:1050919710]', '[U:1:368644786]', '[U:1:183962091]', '[U:1:1068421224]', '[U:1:1007792924]']","['[U:1:438002921]', '[U:1:156276611]', '[U:1:157537683]', '[U:1:1114199112]', '[U:1:312640561]', '[U:1:317981219]']","[0, 5]"
"['[U:1:156440371]', '[U:1:170311598]', '[U:1:84980776]', '[U:1:908952969]', '[U:1:108814174]', '[U:1:1268599460]', '[U:1:296417871]']","['[U:1:198377443]', '[U:1:855379221]', '[U:1:1191242857]', '[U:1:919085644]', '[U:1:260352292]', '[U:1:129808893]']","[2, 3]"
"['[U:1:404440631]', '[U:1:84980776]', '[U:1:402718118]', '[U:1:1112981307]', '[U:1:1191242857]', '[U:1:198377443]']","['[U:1:1268599460]', '[U:1:1278657853]', '[U:1:81083162]', '[U:1:113496106]', '[U:1:73086130]', '[U:1:229064914]']","[5, 0]"
"['[U:1:186795454]', '[U:1:1278657853]', '[U:1:1241493147]', '[U:1:1061527813]', '[U:1:73086130]', '[U:1:229064914]', '[U:1:1086921574]', '[U:1:117579832]']","['[U:1:84980776]', '[U:1:402718118]', '[U:1:1268599460]', '[U:1:1191242857]', '[U:1:317832340]', '[U:1:113496106]']","[0, 4]"
"['[U:1:1268599460]', '[U:1:1241493147]', '[U:1:1258031600]', '[U:1:73086130]', '[U:1:229064914]', '[U:1:1086921574]']","['[U:1:186795454]', '[U:1:156440371]', '[U:1:117579832]', '[U:1:1191242857]', '[U:1:485271219]', '[U:1:486017495]', '[U:1:921741768]']","[1, 5]"
"['[U:1:156440371]', '[U:1:1268599460]', '[U:1:485271219]', '[U:1:73086130]', '[U:1:229064914]', '[U:1:1086921574]']","['[U:1:383062580]', '[U:1:368644786]', '[U:1:117579832]', '[U:1:1191242857]', '[U:1:1258031600]', '[U:1:921741768]']","[5, 2]"
"['[U:1:163785388]', '[U:1:155227384]', '[U:1:485271219]', '[U:1:202531898]', '[U:1:1280960540]', '[U:1:116428232]']","['[U:1:1108040484]', '[U:1:317981219]', '[U:1:249346279]', '[U:1:164800184]', '[U:1:162401190]', '[U:1:102346090]']","[5, 0]"
"['[U:1:249346279]', '[U:1:921741768]', '[U:1:340910509]', '[U:1:491032753]', '[U:1:102346090]', '[U:1:485271219]']","['[U:1:155227384]', '[U:1:164800184]', '[U:1:1108040484]', '[U:1:116428232]', '[U:1:1278657853]', '[U:1:184806706]']","[4, 1]"
"['[U:1:395380187]', '[U:1:317981219]', '[U:1:908952969]', '[U:1:117579832]', '[U:1:260352292]', '[U:1:486017495]']","['[U:1:163785388]', '[U:1:98534751]', '[U:1:426690057]', '[U:1:125098066]', '[U:1:368644786]', '[U:1:919085644]', '[U:1:241181071]']","[2, 5]"
"['[U:1:233139493]', '[U:1:182383884]', '[U:1:1278657853]', '[U:1:1125086860]', '[U:1:485271219]', '[U:1:438002921]']","['[U:1:249346279]', '[U:1:921741768]', '[U:1:348298348]', '[U:1:1229126044]', '[U:1:95707166]', '[U:1:170311598]']","[5, 0]"
"['[U:1:413075377]', '[U:1:163785388]', '[U:1:908952969]', '[U:1:249346279]', '[U:1:217627615]', '[U:1:855379221]']","['[U:1:170311598]', '[U:1:238849269]', '[U:1:98534751]', '[U:1:273322196]', '[U:1:1191242857]', '[U:1:156276611]']","[1, 5]"
"['[U:1:892993531]', '[U:1:260352292]', '[U:1:167374185]', '[U:1:485271219]', '[U:1:198377443]', '[U:1:314449381]']","['[U:1:213858425]', '[U:1:842830053]', '[U:1:317981219]', '[U:1:238849269]', '[U:1:1278657853]', '[U:1:919085644]']","[0, 5]"
"['[U:1:213858425]', '[U:1:842830053]', '[U:1:914486159]', '[U:1:485271219]', '[U:1:314449381]', '[U:1:168737276]']","['[U:1:229064914]', '[U:1:260352292]', '[U:1:1278657853]', '[U:1:198377443]', '[U:1:275885026]', '[U:1:233139493]']","[4, 3]"
"['[U:1:1191242857]', '[U:1:238849269]', '[U:1:1278657853]', '[U:1:438002921]', '[U:1:919085644]', '[U:1:156440371]']","['[U:1:409701962]', '[U:1:914486159]', '[U:1:317981219]', '[U:1:1007792924]', '[U:1:485271219]', '[U:1:183962091]']","[4, 3]"
"['[U:1:229064914]', '[U:1:168737276]', '[U:1:213858425]', '[U:1:314449381]', '[U:1:98534751]', '[U:1:855379221]']","['[U:1:893485704]', '[U:1:842830053]', '[U:1:339850851]', '[U:1:121330407]', '[U:1:921741768]', '[U:1:273322196]']","[2, 1]"
"['[U:1:229064914]', '[U:1:213858425]', '[U:1:339850851]', '[U:1:426690057]', '[U:1:98534751]', '[U:1:260352292]']","['[U:1:122217817]', '[U:1:893485704]', '[U:1:842830053]', '[U:1:121330407]', '[U:1:921741768]', '[U:1:273322196]']","[5, 1]"
"['[U:1:893485704]', '[U:1:842830053]', '[U:1:98534751]', '[U:1:1229126044]', '[U:1:102346090]', '[U:1:156276611]']","['[U:1:229064914]', '[U:1:122217817]', '[U:1:426690057]', '[U:1:273322196]', '[U:1:1093421990]', '[U:1:182383884]']","[2, 4]"
"['[U:1:171938429]', '[U:1:921741768]', '[U:1:219622414]', '[U:1:155227384]', '[U:1:919085644]', '[U:1:177263566]']","['[U:1:296417871]', '[U:1:489591700]', '[U:1:317981219]', '[U:1:188596904]', '[U:1:1114199112]', '[U:1:352052370]']","[1, 2]"
"['[U:1:219622414]', '[U:1:188596904]', '[U:1:968643410]', '[U:1:156276611]', '[U:1:352052370]', '[U:1:1093421990]']","['[U:1:489591700]', '[U:1:182383884]', '[U:1:409701962]', '[U:1:122217817]', '[U:1:428241817]', '[U:1:476310171]']","[1, 3]"
"['[U:1:96015935]', '[U:1:1125086860]', '[U:1:183962091]', '[U:1:340910509]', '[U:1:485271219]', '[U:1:117579832]']","['[U:1:989144808]', '[U:1:79240754]', '[U:1:368644786]', '[U:1:73086130]', '[U:1:815464669]', '[U:1:131797528]', '[U:1:921741768]', '[U:1:121079858]']","[2, 2]"
"['[U:1:1125086860]', '[U:1:156440371]', '[U:1:342061447]', '[U:1:485271219]', '[U:1:117579832]', '[U:1:1124816254]']","['[U:1:989144808]', '[U:1:125098066]', '[U:1:111505624]', '[U:1:73086130]', '[U:1:182383884]', '[U:1:340910509]']","[2, 5]"
"['[U:1:989144808]', '[U:1:111505624]', '[U:1:1323640]', '[U:1:182383884]', '[U:1:156440371]', '[U:1:342061447]']","['[U:1:125098066]', '[U:1:1125086860]', '[U:1:73086130]', '[U:1:273322196]', '[U:1:485271219]', '[U:1:117579832]', '[U:1:1124816254]']","[2, 5]"
"['[U:1:368644786]', '[U:1:409701962]', '[U:1:182383884]', '[U:1:183962091]', '[U:1:342061447]', '[U:1:904306638]']","['[U:1:125098066]', '[U:1:1323640]', '[U:1:1258031600]', '[U:1:485271219]', '[U:1:117579832]', '[U:1:1124816254]']","[2, 5]"
"['[U:1:125098066]', '[U:1:409701962]', '[U:1:273322196]', '[U:1:485271219]', '[U:1:1068421224]', '[U:1:904306638]']","['[U:1:1323640]', '[U:1:84980776]', '[U:1:182383884]', '[U:1:229064914]', '[U:1:342061447]', '[U:1:117579832]']","[2, 2]"
"['[U:1:368644786]', '[U:1:156440371]', '[U:1:121330407]', '[U:1:35693711]', '[U:1:73086130]', '[U:1:156276611]']","['[U:1:426690057]', '[U:1:921741768]', '[U:1:317981219]', '[U:1:919085644]', '[U:1:1007792924]', '[U:1:908952969]']","[1, 5]"
"['[U:1:908952969]', '[U:1:264182612]', '[U:1:919085644]', '[U:1:73086130]', '[U:1:208665602]', '[U:1:489591700]']","['[U:1:156440371]', '[U:1:921741768]', '[U:1:317981219]', '[U:1:476310171]', '[U:1:164800184]', '[U:1:35693711]']","[5, 1]"
"['[U:1:404440631]', '[U:1:110923884]', '[U:1:921741768]', '[U:1:125098066]', '[U:1:486017495]', '[U:1:1191242857]']","['[U:1:155227384]', '[U:1:485271219]', '[U:1:1125086860]', '[U:1:1323640]', '[U:1:35693711]', '[U:1:121330407]']","[3, 3]"
"['[U:1:125098066]', '[U:1:1323640]', '[U:1:219622414]', '[U:1:368644786]', '[U:1:1124816254]', '[U:1:156440371]']","['[U:1:110923884]', '[U:1:815464669]', '[U:1:921741768]', '[U:1:1125086860]', '[U:1:1278657853]', '[U:1:121079858]']","[5, 0]"
"['[U:1:121079858]', '[U:1:1323640]', '[U:1:1278657853]', '[U:1:219622414]', '[U:1:110923884]', '[U:1:884091128]']","['[U:1:921741768]', '[U:1:426690057]', '[U:1:139248838]', '[U:1:125098066]', '[U:1:183962091]', '[U:1:130289070]']","[1, 4]"
"['[U:1:1201269414]', '[U:1:164800184]', '[U:1:213858425]', '[U:1:339024341]', '[U:1:182383884]', '[U:1:73086130]']","['[U:1:921741768]', '[U:1:402718118]', '[U:1:1124816254]', '[U:1:156276611]', '[U:1:117579832]', '[U:1:94683089]']","[4, 2]"
"['[U:1:110923884]', '[U:1:125098066]', '[U:1:402718118]', '[U:1:73086130]', '[U:1:1124816254]', '[U:1:117579832]']","['[U:1:1201269414]', '[U:1:213858425]', '[U:1:339024341]', '[U:1:1323640]', '[U:1:273322196]', '[U:1:156276611]', '[U:1:94683089]']","[5, 2]"
"['[U:1:131400746]', '[U:1:236732279]', '[U:1:409701962]', '[U:1:919085644]', '[U:1:314449381]', '[U:1:989144808]']","['[U:1:156440371]', '[U:1:1050919710]', '[U:1:1278657853]', '[U:1:1047583482]', '[U:1:128635382]', '[U:1:116428232]']","[1, 0]"
"['[U:1:131400746]', '[U:1:990182760]', '[U:1:877907271]', '[U:1:1278657853]', '[U:1:60959017]', '[U:1:116428232]']","['[U:1:128635382]', '[U:1:409701962]', '[U:1:919085644]', '[U:1:314449381]', '[U:1:1050919710]', '[U:1:989144808]']","[3, 1]"
"['[U:1:494260720]', '[U:1:409701962]', '[U:1:110923884]', '[U:1:188567767]', '[U:1:904306638]', '[U:1:919085644]']","['[U:1:317981219]', '[U:1:131400746]', '[U:1:877907271]', '[U:1:1007792924]', '[U:1:989144808]', '[U:1:1258031600]']","[1, 4]"
"['[U:1:131400746]', '[U:1:409701962]', '[U:1:110923884]', '[U:1:489591700]', '[U:1:919085644]', '[U:1:989144808]']","['[U:1:317981219]', '[U:1:877907271]', '[U:1:494260720]', '[U:1:1007792924]', '[U:1:904306638]', '[U:1:188567767]']","[5, 0]"
"['[U:1:229064914]', '[U:1:110923884]', '[U:1:177263566]', '[U:1:989144808]', '[U:1:893485704]', '[U:1:117579832]']","['[U:1:914486159]', '[U:1:877907271]', '[U:1:494260720]', '[U:1:219622414]', '[U:1:188567767]', '[U:1:1007792924]']","[3, 0]"
"['[U:1:914486159]', '[U:1:368644786]', '[U:1:123709328]', '[U:1:921741768]', '[U:1:1007792924]', '[U:1:1278657853]']","['[U:1:877907271]', '[U:1:188567767]', '[U:1:121330407]', '[U:1:438002921]', '[U:1:117579832]', '[U:1:73086130]']","[0, 5]"
"['[U:1:101982160]', '[U:1:41890209]', '[U:1:112621228]', '[U:1:143474481]', '[U:1:102407203]', '[U:1:230673489]', '[U:1:868296991]', '[U:1:125098066]', '[U:1:413075377]', '[U:1:273322196]', '[U:1:236732279]', '[U:1:73086130]']","['[U:1:84500845]', '[U:1:67905517]', '[U:1:163791764]', '[U:1:319937700]', '[U:1:36568047]', '[U:1:197662912]', '[U:1:1201269414]', '[U:1:395380187]', '[U:1:123709328]', '[U:1:60959017]', '[U:1:1007792924]', '[U:1:219622414]', '[U:1:117579832]']","[3, 6]"
"['[U:1:426690057]', '[U:1:110923884]', '[U:1:904306638]', '[U:1:340910509]', '[U:1:73086130]', '[U:1:409701962]']","['[U:1:273322196]', '[U:1:874084627]', '[U:1:368644786]', '[U:1:183962091]', '[U:1:1114199112]', '[U:1:921741768]']","[5, 4]"
"['[U:1:81583816]', '[U:1:150077131]', '[U:1:120220395]', '[U:1:121330407]', '[U:1:989144808]', '[U:1:921741768]']","['[U:1:317981219]', '[U:1:162545960]', '[U:1:315920596]', '[U:1:486017495]', '[U:1:1278657853]', '[U:1:1241493147]']","[0, 5]"
"['[U:1:273322196]', '[U:1:121330407]', '[U:1:120220395]', '[U:1:861750819]', '[U:1:1007792924]', '[U:1:487334809]']","['[U:1:315920596]', '[U:1:1278657853]', '[U:1:98534751]', '[U:1:1241493147]', '[U:1:989144808]', '[U:1:314449381]']","[3, 3]"
"['[U:1:368644786]', '[U:1:120220395]', '[U:1:173573767]', '[U:1:861750819]', '[U:1:921741768]', '[U:1:874084627]']","['[U:1:162545960]', '[U:1:121330407]', '[U:1:315920596]', '[U:1:989144808]', '[U:1:1007792924]', '[U:1:156440371]']","[0, 3]"
"['[U:1:1241493147]', '[U:1:273322196]', '[U:1:98534751]', '[U:1:1047583482]', '[U:1:409701962]', '[U:1:1191242857]']","['[U:1:317981219]', '[U:1:315920596]', '[U:1:1278657853]', '[U:1:314449381]', '[U:1:904306638]', '[U:1:989144808]']","[5, 2]"
"['[U:1:162545960]', '[U:1:98534751]', '[U:1:409701962]', '[U:1:173573767]', '[U:1:486017495]', '[U:1:170311598]']","['[U:1:315920596]', '[U:1:1278657853]', '[U:1:476310171]', '[U:1:1191242857]', '[U:1:968643410]', '[U:1:264182612]']","[1, 3]"
"['[U:1:317981219]', '[U:1:368644786]', '[U:1:1278657853]', '[U:1:156440371]', '[U:1:139248838]', '[U:1:52815207]']","['[U:1:402718118]', '[U:1:121079858]', '[U:1:273322196]', '[U:1:1015184902]', '[U:1:904306638]', '[U:1:968643410]']","[3, 2]"
"['[U:1:402718118]', '[U:1:121079858]', '[U:1:273322196]', '[U:1:1015184902]', '[U:1:123709328]', '[U:1:52815207]']","['[U:1:156276611]', '[U:1:968643410]', '[U:1:1278657853]', '[U:1:355117862]', '[U:1:162545960]', '[U:1:122217817]']","[0, 5]"
"['[U:1:273322196]', '[U:1:121079858]', '[U:1:156276611]', '[U:1:1278657853]', '[U:1:355117862]', '[U:1:122217817]']","['[U:1:402718118]', '[U:1:168737276]', '[U:1:52815207]', '[U:1:968643410]', '[U:1:123709328]', '[U:1:162545960]']","[1, 4]"
"['[U:1:921741768]', '[U:1:815464669]', '[U:1:877907271]', '[U:1:314449381]', '[U:1:84980776]', '[U:1:1241493147]', '[U:1:133515365]']","['[U:1:317981219]', '[U:1:989144808]', '[U:1:851268526]', '[U:1:1278657853]', '[U:1:121330407]', '[U:1:489591700]']","[5, 1]"
"['[U:1:921741768]', '[U:1:877907271]', '[U:1:1047583482]', '[U:1:1278657853]', '[U:1:233139493]', '[U:1:438002921]', '[U:1:229064914]']","['[U:1:489591700]', '[U:1:989144808]', '[U:1:815464669]', '[U:1:317981219]', '[U:1:314449381]', '[U:1:1241493147]']","[0, 2]"
"['[U:1:989144808]', '[U:1:1278657853]', '[U:1:213858425]', '[U:1:314449381]', '[U:1:234205523]', '[U:1:155227384]']","['[U:1:1047583482]', '[U:1:877907271]', '[U:1:188567767]', '[U:1:815464669]', '[U:1:317981219]', '[U:1:1191242857]']","[0, 5]"
"['[U:1:368644786]', '[U:1:156440371]', '[U:1:125098066]', '[U:1:121079858]', '[U:1:273322196]', '[U:1:52815207]']","['[U:1:485271219]', '[U:1:402718118]', '[U:1:249346279]', '[U:1:102346090]', '[U:1:182383884]', '[U:1:110923884]']","[5, 0]"
"['[U:1:426690057]', '[U:1:342061447]', '[U:1:110923884]', '[U:1:1191242857]', '[U:1:919085644]', '[U:1:238849269]']","['[U:1:368644786]', '[U:1:131400746]', '[U:1:402718118]', '[U:1:485271219]', '[U:1:73086130]', '[U:1:1201269414]']","[3, 1]"
"['[U:1:1241493147]', '[U:1:129808893]', '[U:1:851268526]', '[U:1:404440631]', '[U:1:908952969]', '[U:1:989144808]']","['[U:1:260352292]', '[U:1:394018863]', '[U:1:1114199112]', '[U:1:815464669]', '[U:1:361612154]', '[U:1:1278657853]']","[0, 5]"
"['[U:1:117579832]', '[U:1:317981219]', '[U:1:1047583482]', '[U:1:170311598]', '[U:1:73086130]', '[U:1:489591700]']","['[U:1:87676631]', '[U:1:1258031600]', '[U:1:393852362]', '[U:1:863015066]', '[U:1:919085644]', '[U:1:102346090]']","[4, 4]"
"['[U:1:1241493147]', '[U:1:79240754]', '[U:1:129808893]', '[U:1:273322196]', '[U:1:908952969]', '[U:1:476310171]']","['[U:1:394018863]', '[U:1:904306638]', '[U:1:404440631]', '[U:1:815464669]', '[U:1:989144808]', '[U:1:1278657853]']","[5, 0]"
"['[U:1:87676631]', '[U:1:317981219]', '[U:1:393852362]', '[U:1:1047583482]', '[U:1:170311598]', '[U:1:102346090]']","['[U:1:117579832]', '[U:1:1258031600]', '[U:1:73086130]', '[U:1:863015066]', '[U:1:1052789333]', '[U:1:489591700]']","[0, 5]"
"['[U:1:1241493147]', '[U:1:79240754]', '[U:1:1278657853]', '[U:1:908952969]', '[U:1:273322196]', '[U:1:1047583482]']","['[U:1:904306638]', '[U:1:156440371]', '[U:1:494260720]', '[U:1:989144808]', '[U:1:863015066]', '[U:1:170311598]']","[5, 1]"
"['[U:1:1241493147]', '[U:1:121079858]', '[U:1:1191242857]', '[U:1:1120606091]', '[U:1:125098066]', '[U:1:1227498284]']","['[U:1:317981219]', '[U:1:394018863]', '[U:1:340910509]', '[U:1:404440631]', '[U:1:342061447]', '[U:1:1052789333]']","[1, 4]"
"['[U:1:394018863]', '[U:1:340910509]', '[U:1:121079858]', '[U:1:1120606091]', '[U:1:1108040484]', '[U:1:342061447]']","['[U:1:1241493147]', '[U:1:1191242857]', '[U:1:1052789333]', '[U:1:125098066]', '[U:1:1227498284]', '[U:1:130289070]']","[0, 3]"
"['[U:1:1268599460]', '[U:1:79240754]', '[U:1:170311598]', '[U:1:35693711]', '[U:1:361612154]', '[U:1:1280960540]']","['[U:1:219622414]', '[U:1:129808893]', '[U:1:989144808]', '[U:1:873952590]', '[U:1:914486159]', '[U:1:409701962]']","[5, 0]"
"['[U:1:1268599460]', '[U:1:79240754]', '[U:1:170311598]', '[U:1:117579832]', '[U:1:317981219]', '[U:1:409701962]']","['[U:1:102346090]', '[U:1:1280960540]', '[U:1:296417871]', '[U:1:273322196]', '[U:1:438002921]', '[U:1:1278657853]']","[3, 4]"
"['[U:1:117579832]', '[U:1:162545960]', '[U:1:234205523]', '[U:1:317981219]', '[U:1:861750819]', '[U:1:296417871]']","['[U:1:1191242857]', '[U:1:219622414]', '[U:1:438002921]', '[U:1:402718118]', '[U:1:273322196]', '[U:1:229064914]']","[2, 3]"
"['[U:1:162545960]', '[U:1:273322196]', '[U:1:35693711]', '[U:1:494260720]', '[U:1:904306638]', '[U:1:117579832]']","['[U:1:1201269414]', '[U:1:921741768]', '[U:1:315920596]', '[U:1:1108040484]', '[U:1:217627615]', '[U:1:1050919710]', '[U:1:1241493147]']","[2, 4]"
"['[U:1:921741768]', '[U:1:121079858]', '[U:1:368644786]', '[U:1:156440371]', '[U:1:1125086860]', '[U:1:1278657853]']","['[U:1:317981219]', '[U:1:155227384]', '[U:1:842830053]', '[U:1:35693711]', '[U:1:485271219]', '[U:1:171265918]']","[2, 3]"
"['[U:1:921741768]', '[U:1:155227384]', '[U:1:1278657853]', '[U:1:35693711]', '[U:1:428241817]', '[U:1:815464669]']","['[U:1:368644786]', '[U:1:156440371]', '[U:1:483032880]', '[U:1:842830053]', '[U:1:485271219]', '[U:1:171265918]']","[2, 3]"
"['[U:1:1125086860]', '[U:1:1007792924]', '[U:1:409701962]', '[U:1:1258031600]', '[U:1:273322196]', '[U:1:919085644]', '[U:1:842830053]']","['[U:1:162545960]', '[U:1:454319943]', '[U:1:1052789333]', '[U:1:1015184902]', '[U:1:340910509]', '[U:1:296417871]']","[3, 0]"
"['[U:1:1007792924]', '[U:1:156440371]', '[U:1:428241817]', '[U:1:73086130]', '[U:1:368644786]', '[U:1:340910509]']","['[U:1:921741768]', '[U:1:1125086860]', '[U:1:229064914]', '[U:1:1015184902]', '[U:1:168737276]', '[U:1:409701962]']","[5, 0]"
"['[U:1:921741768]', '[U:1:317981219]', '[U:1:273322196]', '[U:1:123709328]', '[U:1:1015184902]', '[U:1:229064914]', '[U:1:168737276]']","['[U:1:1125086860]', '[U:1:919085644]', '[U:1:428241817]', '[U:1:73086130]', '[U:1:409701962]', '[U:1:865677399]']","[0, 3]"
"['[U:1:317981219]', '[U:1:393852362]', '[U:1:35693711]', '[U:1:296417871]', '[U:1:236732279]', '[U:1:164800184]', '[U:1:131400746]']","['[U:1:82009524]', '[U:1:83930987]', '[U:1:1047583482]', '[U:1:107925106]', '[U:1:919085644]', '[U:1:921741768]']","[2, 5]"
"['[U:1:317981219]', '[U:1:393852362]', '[U:1:35693711]', '[U:1:296417871]', '[U:1:236732279]', '[U:1:164800184]', '[U:1:131400746]']","['[U:1:82009524]', '[U:1:83930987]', '[U:1:1047583482]', '[U:1:107925106]', '[U:1:919085644]', '[U:1:921741768]']","[2, 5]"
"['[U:1:404440631]', '[U:1:234205523]', '[U:1:1280960540]', '[U:1:162401190]', '[U:1:836155584]', '[U:1:409701962]']","['[U:1:394018863]', '[U:1:1114199112]', '[U:1:438002921]', '[U:1:1291317864]', '[U:1:229064914]', '[U:1:919085644]']","[0, 5]"
"['[U:1:317981219]', '[U:1:1050919710]', '[U:1:296417871]', '[U:1:107925106]', '[U:1:164800184]', '[U:1:1086921574]']","['[U:1:1110603288]', '[U:1:156276611]', '[U:1:131400746]', '[U:1:83930987]', '[U:1:1047583482]', '[U:1:904306638]']","[2, 1]"
"['[U:1:489591700]', '[U:1:238849269]', '[U:1:1050919710]', '[U:1:73086130]', '[U:1:229064914]', '[U:1:919085644]']","['[U:1:317981219]', '[U:1:121079858]', '[U:1:162338051]', '[U:1:135658177]', '[U:1:84437700]', '[U:1:893485704]']","[4, 2]"
"['[U:1:489591700]', '[U:1:238849269]', '[U:1:893485704]', '[U:1:73086130]', '[U:1:486017495]', '[U:1:156440371]']","['[U:1:317981219]', '[U:1:135658177]', '[U:1:1050919710]', '[U:1:919085644]', '[U:1:842830053]', '[U:1:139248838]']","[3, 1]"
"['[U:1:836155584]', '[U:1:317981219]', '[U:1:919085644]', '[U:1:238849269]', '[U:1:135658177]', '[U:1:96968119]']","['[U:1:121079858]', '[U:1:1050919710]', '[U:1:489591700]', '[U:1:1112981307]', '[U:1:73086130]', '[U:1:156440371]']","[2, 3]"
"['[U:1:135658177]', '[U:1:1015184902]', '[U:1:238849269]', '[U:1:96968119]', '[U:1:161368092]', '[U:1:156440371]']","['[U:1:1191242857]', '[U:1:121079858]', '[U:1:489591700]', '[U:1:409701962]', '[U:1:368644786]', '[U:1:73086130]']","[3, 4]"
"['[U:1:121079858]', '[U:1:1015184902]', '[U:1:409701962]', '[U:1:73086130]', '[U:1:868296991]', '[U:1:161368092]']","['[U:1:135658177]', '[U:1:851268526]', '[U:1:352052370]', '[U:1:368644786]', '[U:1:229064914]', '[U:1:156440371]']","[0, 5]"
